,식품명,energy,protein,calcium,phosphorus,iron,niacin,folate,vitaC,thiamin,riboflavin
6300,불고기브리또,370,12,0,0,0,0,0,0,0,0
6301,소세지 프레즐,252,0,0,0,0,0,0,0,0,0
6302,베이글칩(갈릭/허니),251,0,0,0,0,0,0,0,0,0
6303,가래떡,195.16,3.92,5.18,42.68,0.25,0,8.57,0,0,0.02
6304,깨송편,219.01,4.65,96.23,64.88,0.46,0.48,16.4,0,0.31,0.01
6305,꿀떡,228.48,3.74,15.35,51.73,0.36,0.34,15.58,0,0.01,0.01
6306,모듬찰떡,218.16,6.78,19.38,91,0.75,0,33.99,1.85,0,0.17
6307,백설기,229.5,3.71,6.02,35.7,0.08,0.21,18.71,0,0,0.03
6308,쑥절편,192.12,7.72,27.26,33.9,0.43,0,2.39,0,0,0.03
6309,약식,219.87,4.21,13.38,43.44,0.33,0,7.77,0,0,0.01
6310,인절미,242.26,5.64,16.42,61.19,0.4,1.05,12.48,2.99,0,0.03
6311,증편,200.1,3.17,9.63,38.08,0.1,0.72,11.28,0,0,0.05
6312,찐감자,140.18,4.32,19.75,100.53,0.65,0.88,40.61,16.19,0.98,0.13
6313,찐고구마,277.31,3.34,40.41,129.78,1.15,1.16,83.74,4.58,0,0.22
6314,찐옥수수,370.54,13.36,9.78,418.03,3.11,0.7,219.41,7.39,0,0.32
6315,참깨경단,239.92,6.28,177.89,104.33,0.84,1.21,27.41,0,0,0.02
6316,팥시루떡,224.23,3.77,13.91,65.34,0.66,0.1,5.87,1.83,0.24,0.03
6317,팥찹쌀떡,294.75,5.06,17.36,33.83,0.41,0.22,3.66,0,0.03,0.02
6318,가자미구이,245.31,37.4,359.49,550.24,0.69,2.92,27.8,0.94,0,0.58
6319,간장양념닭다리구이,740.27,68.9,39.45,835,3.34,0,76.53,0,0.37,1.12
6320,갈치구이,275.69,43.07,23.87,473.95,0.93,8.3,21.62,1.92,0,0.16
6321,고등어구이,551.8,47.65,260.01,680.11,2.59,20.85,53.66,0.97,0.31,0.62
6322,고등어석쇠구이,679.62,46.75,203.63,612.38,3.7,1.87,13.78,4.81,0.6,0.51
6323,굴비구이,291.73,28.02,994.76,659.05,1.31,0.36,14.44,2.8,0.16,0.3
6324,꽁치구이,604.84,49.36,261.16,612.13,4392.07,21.94,31.09,2.43,2.86,0.74
6325,닭고기대파꼬치구이,416.63,30.34,27.26,305.48,1.86,0,53.88,3.88,0,0.3
6326,닭구이,872.3,89.1,94.86,894.92,2.89,0,43.65,0,0.47,1.04
6327,닭발구이,431.43,39.92,85.01,143.07,1.45,0,20.02,0,0.32,0.13
6328,돼지갈비구이,881.09,84.72,55.39,639.93,4.16,14.88,44.44,6.42,0.99,0.94
6329,돼지고기산적,339.25,49.41,31.38,349.78,1.54,0,8.77,0.5,0.61,0.3
6330,돼지불고기,449.57,29.71,28.43,314.24,1.76,7.03,43.47,5.23,0.88,0.83
6331,등심스테이크,388,60.44,11.55,455.97,5.16,0,19.07,0.78,0,0.4
6332,런천미트구이,484.35,28.09,50.44,449.01,0.87,23.61,17.96,23.11,0.74,0.12
6333,뱅어포구이,262,24.06,726.76,588.42,1.48,0,28.85,0,0.3,0.08
6334,버섯구이,41.71,4.13,1.64,113.76,0.58,1.33,22.46,0,0,0.37
6335,삼겹살고추장구이,805.66,28.42,28.59,394.46,1.92,32.69,13.69,1.81,1.41,0.31
6336,삼겹살구이,933.52,45.11,17.74,404.99,1.38,10.21,17.64,3.34,1.82,0.76
6337,삼치구이,355.16,42.83,35.65,318.66,3.8,0,50.21,0,0.23,0.27
6338,새송이버섯구이,66.92,3.43,0.79,105.9,0.48,1.71,30.7,0,0,0.32
6339,새우구이,260.76,42.13,148.2,434.16,0.79,0,21.46,5.56,0,0.19
6340,쇠갈비구이,722.95,77.73,101.23,537.4,11.77,9.37,39.73,2.6,0,1.54
6341,쇠곱창구이,275.96,22.33,43.97,247.13,2.26,0.47,95.67,0.28,1.38,0.45
6342,쇠불고기,339.22,32.82,37.46,306.4,4.59,21.35,36.52,8.7,0.19,0.4
6343,안심스테이크,366.42,69.63,9.36,525.34,4.98,5.51,30.56,0,2.11,0.57
6344,오리고기구이,586.08,48.12,16.74,456.89,5.47,0,6.69,0,0.49,1.11
6345,오리불고기,361.52,16.87,35.91,234.9,2.38,21.99,65.12,6.54,4.19,0.5
6346,장어고추장구이,258.89,19.82,164.77,248.81,0.72,0,20.09,1.68,0.88,0.41
6347,조기구이,318.2,34.8,218.18,409.28,0.86,0,8.67,0,0.17,0.32
6348,조미김,23.5,1.02,18.54,14.54,0.59,0,26.15,3.49,0,0
6349,쥐포구이,238.58,21.67,264.75,168.06,0.93,3.13,6.12,0.65,0,0.04
6350,참치머리구이,346.8,47.81,27.22,438.43,5.18,7.79,23.07,2.13,0,0.22
6351,치킨데리야끼,707.64,56.23,54.98,413.93,1.81,41.45,41.9,72.98,0.33,0.4
6352,키조개구이,234.13,31.38,32.43,268.37,3.44,0,21.93,22.39,0.35,0.06
6353,표고버섯구이,79.6,3.47,2.04,109.42,0.54,0.05,28.68,0,0.15,0.21
6354,함박스테이크,347.37,24.2,28.45,252.59,1.07,4.04,25.16,4.98,0.27,0.47
6355,햄구이,577.05,26.02,19.16,419.13,0.91,22.17,23.97,11.44,0,0.08
6356,갈비탕,363.24,57,96.86,326.38,7.1,0,44.37,0,0,0.6
6357,감자된장국,98.19,4.34,70.22,189.98,2.09,9.05,25.73,0,0.83,0.04
6358,감잣국,82.47,3.59,21.54,89.88,0.49,1.94,44.73,2.53,2.83,0.09
6359,굴무국,123.09,12.04,99.61,208.8,3.75,0,72.52,160.33,0.18,0.55
6360,근대된장국,38.84,3.49,44.79,81.92,0.61,2.18,27.11,0.72,0.52,0.18
6361,김치콩나물국,48.33,3.27,38.01,78.65,0.62,3.88,10.02,1.39,3,0.16
6362,김칫국,90.78,5.36,46.51,121.98,0.59,0.95,3.19,1.74,0,0.28
6363,꼬리곰탕,135.9,22.51,31.31,89.59,1.34,15.27,35.11,0,0.47,0.23
6364,냉이된장국,86.47,6.85,129.65,127.63,3.01,15.4,93.52,0,0.02,0.24
6365,달걀국,52.37,3.73,20.95,81.08,0.78,0,9.8,0,0,0.13
6366,닭개장,142.98,19.17,109.59,278.19,1.3,7.82,122.23,0.72,0.51,0.39
6367,닭곰탕,330.4,48.8,58.92,594.11,1.91,19.96,74.42,0.27,0.31,0.77
6368,대합미역국,44.84,4.93,149.67,930.6,20.67,0,7.25,2.06,0.14,0.07
6369,도가니탕,198.17,41.76,40.73,63.72,9.47,0.53,38.81,15.95,0.96,0.05
6370,동태국,66.87,9.66,60.04,169.59,0.56,6.14,34.37,1.76,0,0.12
6371,메밀묵국,87.38,3.99,38.29,74.56,1.03,0,32.65,0,0.81,0.09
6372,무시래기된장국,61.11,5.22,142.36,72.09,3.6,0.79,16.13,0,1.49,0.15
6373,미역국,46.36,2.58,77.87,56.92,1.07,0,8.8,0,0.09,0.15
6374,미역냉국,128.81,0.66,84.26,194.11,2.26,0.09,5.61,0.75,0,0.01
6375,미역된장국,96.16,6.25,79.08,102.71,3.57,0,0.18,1.43,0.15,0.21
6376,미역오이냉국,21.8,1.31,45.05,23.79,0.49,0.12,0.84,0,0.34,0.02
6377,배추된장국,79.08,5.85,49.78,97.19,1,2.32,27.65,0,0,0.19
6378,북엇국,111.03,15.56,58.1,107.76,0.98,1.81,58.75,0.93,1.81,0.18
6379,뼈해장국,206.01,25.55,82.57,230.46,16.24,16.41,70.7,1.37,0.93,0.45
6380,사골국,220.99,22.25,14.14,112.97,2.08,20.92,29.14,0.26,0.07,0.15
6381,삼계탕,911.39,96.09,123.29,942.1,3.86,0,60.96,0,4.07,0.75
6382,새우미역국,63.22,4.35,35.23,92.08,1.55,0.89,9.18,4.21,0,0.02
6383,새우탕,163.1,25.84,151.44,280.85,2.36,0,63.15,10.61,0.23,0.55
6384,선짓국(선지해장국),173.84,23.18,135.67,76.35,41,5.63,33.49,14.85,1.72,0.49
6385,설렁탕,118.37,21.3,33.94,85.24,1.41,0.51,33.55,12.54,0,0.15
6386,쇠고기무국,61.53,5.3,22.44,66.35,0.44,3.46,12.92,0,0,0.12
6387,쇠고기미역국,52.03,7.42,72.05,77.47,1.73,0.97,11.3,0,0,0.14
6388,쇠고기배춧국,62.29,7.34,54.35,103.97,0.85,0.9,62.03,0,0,0.21
6389,순댓국,509.46,14.1,91.59,194.62,7.86,1.23,20.47,45.43,1.26,0.14
6390,순두부달걀탕,102.39,6.23,44.24,123.05,1.29,0.86,46.44,1.66,0.87,0.28
6391,시금치된장국,37.98,4.07,61.87,85.16,1.15,2.38,31.37,0.7,0.7,0.55
6392,쑥된장국,60.64,4.88,40.7,98.16,0.83,6.88,61.56,0.65,0.38,0.24
6393,아욱된장국,81.83,9.1,455.38,148.77,3.56,0,78.31,0.71,0,1.72
6394,애호박된장국,122.91,13.35,76.27,296.86,1.33,5.92,44.25,0,0,0.08
